Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(1,1) to the modular symbol (1,23) + (1,32) + (1,34) - (1,35) of weight 2 and level 37.  Data generated by the following Sage code:

ms37b = kernel(ModularSymbols(Gamma0(37), 2).minus_submodule().cuspidal_submodule().atkin_lehner_operator() + 1).gen(0)
jj = compute_jacobi_fast(ms37b, 1, 1, 2000)

Weight: 2
Index: 37

Coefficients:
====================================
  Delta      r     c(Delta,r)
   1780     72              0
   1785      3             -4
   1785     71              4
   1788     30              6
   1788     44             -6
   1792      4              0
   1792     70              0
   1797     13              2
   1797     61             -2
   1801      5              2
   1801     69             -2
   1804     18             -2
   1804     56              2
   1809     25              0
   1809     49              0
   1812      6              0
   1812     68              0
   1813     37              0
   1816     22             -8
   1816     52              8
   1817     35             -4
   1817     39              4
   1820     28             -8
   1820     46              8
   1824     14              0
   1824     60              0
   1825      7              2
   1825     67             -2
   1829     33              4
   1829     41             -4
   1840      8              0
   1840     66              0
   1841     19            -10
   1841     55             10
   1849     31            N/A
   1849     43            N/A
   1853     15              0
   1853     59              0
   1857      9             -6
   1857     65              6
   1860     26             -4
   1860     48              4
   1861     23             -2
   1861     51              2
   1876     10              0
   1876     64              0
   1877     29              0
   1877     45              0
   1880     20              0
   1880     54              0
   1884     16             -2
   1884     58              2
   1888     36              0
   1888     38              0
   1896     34             -4
   1896     40              4
   1897     11             -2
   1897     63              2
   1908     24             -4
   1908     50              4
   1912     32              4
   1912     42             -4
   1913     27              6
   1913     47             -6
   1917     17             -6
   1917     57              6
   1920     12              0
   1920     62              0
   1921     21              4
   1921     53             -4
   1924      0              0
   1925      1              2
   1925     73             -2
   1928      2             -4
   1928     72              4
   1933      3             -6
   1933     71              6
   1936     30            N/A
   1936     44            N/A
   1940      4             -4
   1940     70              4
   1945     13             -8
   1945     61              8
   1949      5             -2
   1949     69              2
   1952     18              0
   1952     56              0
   1957     25              0
   1957     49              0
   1960      6              0
   1960     68              0
   1961     37              0
   1964     22              4
   1964     52             -4
   1965     35              0
   1965     39              0
   1968     28              0
   1968     46              0
   1972     14              0
   1972     60              0
   1973      7             -8
   1973     67              8
   1977     33              2
   1977     41             -2
   1988      8             -2
   1988     66              2
   1989     19              0
   1989     55              0
   1997     31              2
   1997     43             -2
