Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-3,1) to the modular symbol [X^14*Y^2,(0,0)] of weight 18 and level 1.  Data generated by the following Sage code:

ms1k18a = (ModularSymbols(1, 18).plus_submodule().new_submodule().cuspidal_subspace().atkin_lehner_operator()-1).kernel().gen(0)
jj=compute_jacobi(ms1k18a*5/448, -3, 1, 2000)

Weight: 18
Index: 1

Coefficients:
====================================
  Delta      r     c(Delta,r)
   -980      0    -2284928100
   -979      1    -2760493868
   -976      0    -9688307904
   -975      1    -4861342200
   -972      0            N/A
   -971      1   8493196275/2
   -968      0    17423587962
   -967      1     1428572200
   -964      0    -3565329960
   -963      1  44267478885/2
   -960      0    -5592023040
   -959      1     4356078336
   -956      0    -4960763136
   -955      1   -15431546950
   -952      0   -14070001040
   -951      1    -9866921496
   -948      0    -4187447784
   -947      1  28555829361/2
   -944      0     1768346496
   -943      1     6635879264
   -940      0    13977502000
   -939      1    15094497012
   -936      0    -3903028740
   -935      1     4864812480
   -932      0     1552858200
   -931      1   -642318677/2
   -928      0   -10933010880
   -927      1     2675875752
   -924      0    25608312576
   -923      1    -9411459759
   -920      0    -8880791400
   -919      1    -3488744488
   -916      0      239814548
   -915      1    -8706566220
   -912      0     -184745088
   -911      1    -4526169696
   -908      0     -407397384
   -907      1 -64081745385/2
   -904      0     5323860592
   -903      1     5501105616
   -900      0    -3225313575
   -899      1     7897092651
   -896      0    -5966383104
   -895      1     8045238200
   -892      0    11908395520
   -891      1   8185338117/2
   -888      0     3953457576
   -887      1      259966440
   -884      0   -10879925472
   -883      1  25446400887/2
   -880      0     3111680000
   -879      1       61693080
   -876      0    -7782288288
   -875      1    13987464750
   -872      0     -677673972
   -871      1    -2837047720
   -868      0    -8730993008
   -867      1            N/A
   -864      0     1655748864
   -863      1    -4492395216
   -860      0   -10270995840
   -859      1  -9412383797/2
   -856      0     9955770132
   -855      1    -2010663000
   -852      0    14553828624
   -851      1     -938791503
   -848      0     5280669504
   -847      1    -7743816872
   -844      0    -2749305144
   -843      1    -6913144521
   -840      0   -10004572560
   -839      1     1277429544
   -836      0     7918884072
   -835      1      325674615
   -832      0     6920602624
   -831      1    -3866257896
   -828      0   -11631392640
   -827      1   8719165323/2
   -824      0     2759515416
   -823      1     7999350552
   -820      0    -1516694000
